# ../areas-test-mean-class -incl 1.0 -r 0.4 -in HIevent-LHC-Nch3600.dat -cam -discard 0.0 
#---------------------------------------------------------------------
#                     FastJet release 2.1 beta    			 
#            Written by Matteo Cacciari and Gavin Salam		 
#            http://www.lpthe.jussieu.fr/~salam/fastjet		 
#								      	 
# Longitudinally invariant Kt Jet clustering, using the fast geometric
# algorithms of hep-ph/0512210 (please cite this if you use FastJet)  
# This package makes use of the CGAL library: http://www.cgal.org/    
# This package incorporates T.Chan's closest-pair algorithm, Proc. 13th     
# ACM-SIAM Symposium on Discrete Algorithms, pp.472-473, 2002
#---------------------------------------------------------------------
# median_pt_per_area = 386.625
# sub_a, sub_b = 494.247 -11.2439
 ijet   rap      phi        Pt       area  +-   err   stddev  pt_corr  ptcr(a,b)
   67 -10.60780  3.26443      4.811  0.000 +-  0.000  0.000      4.81      4.81
   68   6.48376  0.61504     35.923  0.000 +-  0.000  0.000     35.92     35.92
   69  -0.06619  5.74091    153.091  0.309 +-  0.000  0.000     33.56      0.30
   70   5.39715  6.06469     60.310  0.359 +-  0.000  0.000    -78.50      0.45
   71   5.05589  5.56836     65.213  0.309 +-  0.000  0.000    -54.32      1.27
   72  -8.25345  2.84553     15.587  0.000 +-  0.000  0.000     15.59     15.59
   73   7.47622  2.05355     32.373  0.000 +-  0.000  0.000     32.37     32.37
   74  10.90467  5.79898      1.209  0.000 +-  0.000  0.000      1.21      1.21
   75   3.68191  0.20651     89.452  0.299 +-  0.000  0.000    -26.23    -12.82
   76   0.76063  3.29766    167.036  0.379 +-  0.000  0.000     20.51    -17.81
   77   7.45294  3.60070     24.871  0.000 +-  0.000  0.000     24.87     24.87
   78  -4.25409  6.07879     70.237  0.199 +-  0.000  0.000     -6.88     12.24
   79   3.72631  2.60478    156.697  0.419 +-  0.000  0.000     -5.25     15.07
   80   8.34018  0.22086      5.529  0.000 +-  0.000  0.000      5.53      5.53
   81  -6.72764  4.54842     43.322  0.000 +-  0.000  0.000     43.32     43.32
   82  -6.53257  3.33309     40.972  0.000 +-  0.000  0.000     40.97     40.97
   83  -9.82858  3.67600      2.845  0.000 +-  0.000  0.000      2.85      2.85
   84  -6.28525  1.11770     42.064  0.060 +-  0.000  0.000     18.93     39.07
   85  -3.40674  2.63237     84.517  0.309 +-  0.000  0.000    -35.02    -27.95
   86  -4.97411  4.37174    104.240  0.449 +-  0.000  0.000    -69.28      7.28
   87   5.57595  3.68975     64.234  0.329 +-  0.000  0.000    -63.01     16.62
   88  10.65804  4.83658      1.733  0.000 +-  0.000  0.000      1.73      1.73
   89  -0.27674  2.72281    212.451  0.439 +-  0.000  0.000     42.79     -4.06
   90   4.10964  3.51318     89.506  0.329 +-  0.000  0.000    -37.74    -10.66
   91  -6.84021  0.53502     52.588  0.000 +-  0.000  0.000     52.59     52.59
   92  -2.07509  1.70022    173.259  0.359 +-  0.000  0.000     34.45     13.19
   93   8.96483  5.46895      5.424  0.000 +-  0.000  0.000      5.42      5.42
   94   5.55781  2.96762     36.798  0.269 +-  0.000  0.000    -67.31     -2.77
   95  -1.45114  2.88587    197.116  0.429 +-  0.000  0.000     31.31     -4.69
   96  -1.40782  1.81778    159.481  0.339 +-  0.000  0.000     28.38     -0.56
   97 -10.30515  2.66754      1.337  0.000 +-  0.000  0.000      1.34      1.34
   98   9.82837  3.32494      6.633  0.000 +-  0.000  0.000      6.63      6.63
   99  -3.78223  5.15564    132.197  0.439 +-  0.000  0.000    -37.46    -14.11
  100  -8.12533  4.38383     10.726  0.000 +-  0.000  0.000     10.73     10.73
  101   3.12277  4.76083    103.369  0.259 +-  0.000  0.000      3.11      3.64
  102   3.44724  1.95556    164.126  0.449 +-  0.000  0.000     -9.39      2.28
  103   8.04615  2.29904     21.269  0.000 +-  0.000  0.000     21.27     21.27
  104  -8.52939  1.49547      4.803  0.000 +-  0.000  0.000      4.80      4.80
  105  11.54707  4.40540      1.047  0.000 +-  0.000  0.000      1.05      1.05
  106   1.58989  2.14762    128.624  0.229 +-  0.000  0.000     39.94     21.77
  107  -3.10503  4.02721    121.998  0.329 +-  0.000  0.000     -5.25     -4.99
  108  -0.82229  0.06490    179.882  0.339 +-  0.000  0.000     48.78     14.86
  109  -1.60162  0.79942    179.961  0.419 +-  0.000  0.000     18.01    -14.99
  110  -0.48375  5.94362    139.187  0.289 +-  0.000  0.000     27.37     -3.00
  111  -9.19584  0.43113      4.543  0.000 +-  0.000  0.000      4.54      4.54
  112  10.84997  2.31554      2.399  0.000 +-  0.000  0.000      2.40      2.40
  113   6.39267  4.63177     35.112  0.000 +-  0.000  0.000     35.11     35.11
  114   6.55094  5.30584     37.039  0.000 +-  0.000  0.000     37.04     37.04
  115  -9.41631  2.56635     10.369  0.000 +-  0.000  0.000     10.37     10.37
  116   2.61478  4.27934    120.338  0.389 +-  0.000  0.000    -30.04    -42.00
  117   6.00642  1.66561     55.311  0.199 +-  0.000  0.000    -21.81     37.64
  118  -3.27584  0.77279    115.902  0.299 +-  0.000  0.000      0.22      4.12
  119 -10.31022  4.06355      2.287  0.000 +-  0.000  0.000      2.29      2.29
  120  -6.31655  2.23071     33.285  0.000 +-  0.000  0.000     33.28     33.28
  121 -10.90636  5.72942      4.414  0.000 +-  0.000  0.000      4.41      4.41
  122  11.66406  3.13583      1.650  0.000 +-  0.000  0.000      1.65      1.65
  123  -1.20792  3.35102    104.199  0.239 +-  0.000  0.000     11.66    -10.18
  124   8.95448  2.89156      5.837  0.000 +-  0.000  0.000      5.84      5.84
  125  -6.67389  6.15197     43.237  0.000 +-  0.000  0.000     43.24     43.24
  126  -5.55106  1.87266     59.808  0.309 +-  0.000  0.000    -59.73     14.12
  127   5.34345  1.83935     63.885  0.299 +-  0.000  0.000    -51.79     12.06
  128  -0.33944  0.27998    160.094  0.319 +-  0.000  0.000     36.70      2.77
  129   5.76183  0.97985     54.888  0.399 +-  0.000  0.000    -99.35      6.63
  130   8.42508  1.92311     12.929  0.000 +-  0.000  0.000     12.93     12.93
  131  -4.76971  3.31219     54.172  0.279 +-  0.000  0.000    -53.79    -12.41
  132  -9.81700  5.26257      8.488  0.000 +-  0.000  0.000      8.49      8.49
  133   1.57393  5.55493    196.826  0.409 +-  0.000  0.000     38.73      6.12
  134   1.49423  0.52198    154.494  0.359 +-  0.000  0.000     15.68    -13.95
  135  12.04196  0.62163      2.758  0.000 +-  0.000  0.000      2.76      2.76
  136  -6.58385  2.65618     41.102  0.000 +-  0.000  0.000     41.10     41.10
  137   3.56192  1.42975     85.544  0.249 +-  0.000  0.000    -10.85     -2.12
  138  -3.52182  5.68277    131.601  0.389 +-  0.000  0.000    -18.78     -6.40
  139  -9.92348  0.30466      5.195  0.000 +-  0.000  0.000      5.19      5.19
  140   9.55475  2.85103      4.425  0.000 +-  0.000  0.000      4.42      4.42
  141  -4.82030  1.58521     60.062  0.289 +-  0.000  0.000    -51.76     -7.32
  142   3.90001  5.57378    117.184  0.349 +-  0.000  0.000    -17.77      4.36
  143   9.20695  6.12509      4.729  0.000 +-  0.000  0.000      4.73      4.73
  144  -8.44470  6.13743     16.911  0.000 +-  0.000  0.000     16.91     16.91
  145   3.60113  4.60968    114.660  0.369 +-  0.000  0.000    -28.01    -13.92
  146   4.68201  1.10744     66.852  0.279 +-  0.000  0.000    -41.11     -2.34
  147   8.62218  3.12496      9.027  0.000 +-  0.000  0.000      9.03      9.03
  148   7.28263  2.50153     44.788  0.000 +-  0.000  0.000     44.79     44.79
  149  -4.18406  0.82849    105.842  0.409 +-  0.000  0.000    -52.25    -15.77
  150  10.45563  0.62098      1.593  0.000 +-  0.000  0.000      1.59      1.59
  151  -1.96529  4.21336    142.070  0.359 +-  0.000  0.000      3.26    -19.79
  152  -2.18110  5.00093    141.444  0.329 +-  0.000  0.000     14.20     -3.62
  153   1.87498  6.19159    164.973  0.359 +-  0.000  0.000     26.16      1.71
  154 -11.10356  6.22449      1.340  0.000 +-  0.000  0.000      1.34      1.34
  155   5.16149  1.22512     68.193  0.379 +-  0.000  0.000    -78.33     -5.59
  156   8.57050  3.86278      8.742  0.000 +-  0.000  0.000      8.74      8.74
  157  -2.41146  5.36100    115.926  0.299 +-  0.000  0.000      0.25    -12.39
  158   6.29620  1.05923     47.720  0.020 +-  0.000  0.000     40.01     46.75
  159   7.89167  0.52930     13.182  0.000 +-  0.000  0.000     13.18     13.18
  160   9.23447  5.03505      5.770  0.000 +-  0.000  0.000      5.77      5.77
  161   5.25657  0.51186     66.175  0.379 +-  0.000  0.000    -80.35     -3.39
  162  -2.06528  2.71571    117.456  0.269 +-  0.000  0.000     13.35     -2.72
  163  -0.63850  2.30541    127.302  0.239 +-  0.000  0.000     34.76     10.10
  164   8.43551  5.53754      9.964  0.000 +-  0.000  0.000      9.96      9.96
  165 -10.04662  2.22503      2.894  0.000 +-  0.000  0.000      2.89      2.89
  166  -8.62040  3.41171     11.871  0.000 +-  0.000  0.000     11.87     11.87
  167   1.61951  2.68663    174.682  0.369 +-  0.000  0.000     32.01      3.18
  168  -1.31939  0.06292    169.562  0.349 +-  0.000  0.000     34.60      3.87
  169  -5.57244  2.78056     48.943  0.309 +-  0.000  0.000    -70.59      4.08
  170  10.97920  3.74663      5.587  0.000 +-  0.000  0.000      5.59      5.59
  171  -4.41209  2.70984    142.392  0.389 +-  0.000  0.000     -7.99     35.29
  172  -1.66549  4.70477    130.692  0.279 +-  0.000  0.000     22.73      1.38
  173   0.59133  5.28015    111.173  0.229 +-  0.000  0.000     22.49     -1.30
  174 -10.46623  0.79190      5.966  0.000 +-  0.000  0.000      5.97      5.97
  175   5.88123  6.15285     44.892  0.219 +-  0.000  0.000    -39.94     21.78
  176  -3.88010  4.42798    123.596  0.309 +-  0.000  0.000      4.06     23.13
  177  -8.48125  3.92131     11.480  0.000 +-  0.000  0.000     11.48     11.48
  178  -2.74809  2.48778    118.872  0.349 +-  0.000  0.000    -16.09    -24.01
  179  -3.26934  1.67551    116.029  0.289 +-  0.000  0.000      4.21      7.84
  180  -1.75266  2.31471    147.497  0.319 +-  0.000  0.000     24.11      0.78
  181  -3.18857  5.99661     75.893  0.209 +-  0.000  0.000     -5.08     -3.68
