# ../areas-test-mean-class -incl 1.0 -r 0.4 -in HIevent-LHC-Nch1600.dat -cam -discard 2.0 
#---------------------------------------------------------------------
#                     FastJet release 2.1 beta    			 
#            Written by Matteo Cacciari and Gavin Salam		 
#            http://www.lpthe.jussieu.fr/~salam/fastjet		 
#								      	 
# Longitudinally invariant Kt Jet clustering, using the fast geometric
# algorithms of hep-ph/0512210 (please cite this if you use FastJet)  
# This package makes use of the CGAL library: http://www.cgal.org/    
# This package incorporates T.Chan's closest-pair algorithm, Proc. 13th     
# ACM-SIAM Symposium on Discrete Algorithms, pp.472-473, 2002
#---------------------------------------------------------------------
# median_pt_per_area = 13.4505
# sub_a, sub_b = 27.253 -0.422153
 ijet   rap      phi        Pt       area  +-   err   stddev  pt_corr  ptcr(a,b)
   58  -3.13529  1.15202      3.111  0.489 +-  0.000  0.000     -3.46     -8.18
   59   3.55460  4.41000     13.249  0.628 +-  0.000  0.000      4.80     -0.52
   60  -6.33283  2.07761      2.441  0.000 +-  0.000  0.000      2.44      2.44
   61  -0.13453  2.54155      2.969  0.299 +-  0.000  0.000     -1.05     -5.18
   62  10.28465  0.47366      2.026  0.000 +-  0.000  0.000      2.03      2.03
   63   5.13436  5.21380      9.314  0.319 +-  0.000  0.000      5.02      4.17
   64   3.83901  3.26480      9.219  0.239 +-  0.000  0.000      6.00      4.19
   65   0.94014  0.98293     21.838  0.668 +-  0.000  0.000     12.85      3.88
   66  -5.99889  4.15716      2.447  0.130 +-  0.000  0.000      0.70      0.88
   67   2.89945  0.88274      4.572  0.529 +-  0.000  0.000     -2.54     -7.96
   68   3.86263  4.93419      2.401  0.429 +-  0.000  0.000     -3.37     -6.58
   69  -4.88902  5.02830      8.108  0.439 +-  0.000  0.000      2.21      0.58
   70  -5.40361  0.94280      2.277  0.279 +-  0.000  0.000     -1.48     -1.89
   71   1.95356  1.92824     10.948  0.349 +-  0.000  0.000      6.25      2.00
   72  -0.69510  2.11734      6.853  0.379 +-  0.000  0.000      1.76     -3.40
   73   4.33118  3.90818      2.337  0.369 +-  0.000  0.000     -2.63     -4.80
   74   5.44900  2.77967      4.523  0.239 +-  0.000  0.000      1.30      1.00
   75  -4.06340  6.02292     21.473  0.598 +-  0.000  0.000     13.42      9.34
   76  -0.51466  5.50088     10.637  0.299 +-  0.000  0.000      6.61      2.52
   77  -3.84042  4.81919      5.160  0.319 +-  0.000  0.000      0.87     -1.55
   78  -8.32081  4.08429      3.192  0.000 +-  0.000  0.000      3.19      3.19
   79  -5.24250  1.80293      4.825  0.269 +-  0.000  0.000      1.20      0.61
   80  -2.64863  5.17216      5.312  0.279 +-  0.000  0.000      1.56     -1.47
   81   5.01765  3.42470      4.600  0.140 +-  0.000  0.000      2.72      2.28
