# ../areas-test-mean-class -incl 1.0 -r 0.4 -in HIevent-LHC-Nch3600.dat -cam -discard 2.0 
#---------------------------------------------------------------------
#                     FastJet release 2.1 beta    			 
#            Written by Matteo Cacciari and Gavin Salam		 
#            http://www.lpthe.jussieu.fr/~salam/fastjet		 
#								      	 
# Longitudinally invariant Kt Jet clustering, using the fast geometric
# algorithms of hep-ph/0512210 (please cite this if you use FastJet)  
# This package makes use of the CGAL library: http://www.cgal.org/    
# This package incorporates T.Chan's closest-pair algorithm, Proc. 13th     
# ACM-SIAM Symposium on Discrete Algorithms, pp.472-473, 2002
#---------------------------------------------------------------------
# median_pt_per_area = 25.3765
# sub_a, sub_b = 41.9953 -0.791094
 ijet   rap      phi        Pt       area  +-   err   stddev  pt_corr  ptcr(a,b)
    0  -1.91092  3.08757     16.628  0.399 +-  0.000  0.000      6.50      1.03
    1   3.33997  3.09687     11.188  0.239 +-  0.000  0.000      5.11      3.25
    2  -2.15908  2.60411     22.285  0.698 +-  0.000  0.000      4.57     -4.46
    3   5.05649  4.76389      5.513  0.269 +-  0.000  0.000     -1.32     -0.35
    4  -0.85844  1.32596     11.707  0.299 +-  0.000  0.000      4.11     -0.68
    5   0.27611  1.73539      7.263  0.469 +-  0.000  0.000     -4.63    -12.39
    6   2.50154  2.29549     11.682  0.199 +-  0.000  0.000      6.62      4.29
    7   3.98909  4.87322     16.037  0.239 +-  0.000  0.000      9.96      9.00
    8   0.82697  2.90472      8.978  0.658 +-  0.000  0.000     -7.73    -18.31
    9  -2.11206  0.97050     18.182  0.319 +-  0.000  0.000     10.08      5.91
   10  -0.17335  4.89724      4.712  0.309 +-  0.000  0.000     -3.13     -8.26
   11   1.69011  4.53958     20.563  0.419 +-  0.000  0.000      9.93      3.92
   12   2.96432  2.72346     12.318  0.469 +-  0.000  0.000      0.42     -4.11
   13   3.98039  5.38269      2.547  0.160 +-  0.000  0.000     -1.50     -2.15
   14   1.63996  1.26154      5.288  0.379 +-  0.000  0.000     -4.33     -9.82
   15   1.60202  3.60488      6.302  0.439 +-  0.000  0.000     -4.83    -11.24
   16   5.27228  5.97705      4.340  0.339 +-  0.000  0.000     -4.27     -2.44
   17  -1.43713  1.11134      8.620  0.329 +-  0.000  0.000      0.27     -4.66
   18  -3.87640  1.94091     20.582  0.688 +-  0.000  0.000      3.12     -0.14
   19   0.59305  5.85246     18.025  0.519 +-  0.000  0.000      4.86     -3.61
   20  -1.32374  3.78527      4.791  0.259 +-  0.000  0.000     -1.79     -5.74
   21  -3.47331  1.55540      4.629  0.170 +-  0.000  0.000      0.33     -0.87
   22  -0.04784  5.93085      5.286  0.130 +-  0.000  0.000      2.00     -0.16
   23  -5.32281  3.21143      2.451  0.359 +-  0.000  0.000     -6.66     -4.58
   24   4.96704  4.05382      2.329  0.299 +-  0.000  0.000     -5.26     -4.40
   25  -0.85628  3.41177     13.731  0.379 +-  0.000  0.000      4.11     -1.96
   26  -3.24162  0.94224     13.745  0.688 +-  0.000  0.000     -3.72     -9.43
   27   1.51310  0.69878     15.746  0.519 +-  0.000  0.000      2.59     -5.09
   28   2.68991  5.92676     11.835  0.219 +-  0.000  0.000      6.27      3.88
   29   5.36871  3.86366     12.926  0.259 +-  0.000  0.000      6.35      7.95
   30  -0.99361  0.75728     38.280  0.578 +-  0.000  0.000     23.60     14.44
   31  -0.62535  0.31020     27.108  0.459 +-  0.000  0.000     15.47      7.98
   32  -1.36011  4.22449     12.865  0.299 +-  0.000  0.000      5.27      0.74
   33  -1.78369  3.61099     22.001  0.409 +-  0.000  0.000     11.62      5.86
   34  -0.15758  0.92642    108.243  0.329 +-  0.000  0.000     99.89     94.43
   35  -8.00761  5.33619      2.026  0.000 +-  0.000  0.000      2.03      2.03
   36  -3.06718  5.59546      9.059  0.459 +-  0.000  0.000     -2.58     -6.79
   37  -7.15433  2.80517      2.569  0.000 +-  0.000  0.000      2.57      2.57
   38  -5.50921  0.64469      2.490  0.249 +-  0.000  0.000     -3.84     -1.99
   39   2.20876  2.72293     21.744  0.379 +-  0.000  0.000     12.13      7.29
   40   6.38121  2.01122      9.476  0.000 +-  0.000  0.000      9.48      9.48
   41  -3.54807  2.68191      2.732  0.509 +-  0.000  0.000    -10.18    -13.56
