# ../areas-test-mean-class -incl 1.0 -r 0.4 -in HIevent-LHC-Nch1600.dat -cam -discard 0.0 
#---------------------------------------------------------------------
#                     FastJet release 2.1 beta    			 
#            Written by Matteo Cacciari and Gavin Salam		 
#            http://www.lpthe.jussieu.fr/~salam/fastjet		 
#								      	 
# Longitudinally invariant Kt Jet clustering, using the fast geometric
# algorithms of hep-ph/0512210 (please cite this if you use FastJet)  
# This package makes use of the CGAL library: http://www.cgal.org/    
# This package incorporates T.Chan's closest-pair algorithm, Proc. 13th     
# ACM-SIAM Symposium on Discrete Algorithms, pp.472-473, 2002
#---------------------------------------------------------------------
# median_pt_per_area = 190.097
# sub_a, sub_b = 241.089 -4.81273
 ijet   rap      phi        Pt       area  +-   err   stddev  pt_corr  ptcr(a,b)
    0   2.17159  5.33800     67.779  0.229 +-  0.000  0.000     24.17     17.68
    1  -5.07443  2.34494     27.182  0.199 +-  0.000  0.000    -10.74      3.81
    2   4.76590  0.11929     28.673  0.269 +-  0.000  0.000    -22.52     -6.81
    3   2.08866  2.95641     54.111  0.189 +-  0.000  0.000     18.09     12.41
    4   2.28903  2.40752     58.303  0.239 +-  0.000  0.000     12.80      6.63
    5   3.75834  6.21461     45.092  0.279 +-  0.000  0.000     -7.99     -3.25
    6   0.09219  3.69027     54.780  0.249 +-  0.000  0.000      7.38     -5.32
    7   5.52855  4.64894     36.285  0.319 +-  0.000  0.000    -24.38      6.29
    8  12.17174  1.21877      3.422  0.000 +-  0.000  0.000      3.42      3.42
    9  -7.80037  1.18971     17.016  0.000 +-  0.000  0.000     17.02     17.02
   10  -0.98857  2.79400     70.938  0.319 +-  0.000  0.000     10.27     -4.50
   11  -9.14241  1.40996      5.239  0.000 +-  0.000  0.000      5.24      5.24
   12   7.78177  3.32787      5.865  0.000 +-  0.000  0.000      5.86      5.86
   13   6.77281  2.77931     41.661  0.000 +-  0.000  0.000     41.66     41.66
   14  10.03141  3.23311      1.566  0.000 +-  0.000  0.000      1.57      1.57
   15   0.07462  0.22310     84.072  0.449 +-  0.000  0.000     -1.24    -24.12
   16   7.44526  1.85989     39.767  0.000 +-  0.000  0.000     39.77     39.77
   17  -3.23148  6.11295     53.092  0.279 +-  0.000  0.000      0.01     -0.20
   18  -7.32194  5.04981     26.489  0.000 +-  0.000  0.000     26.49     26.49
   19  -6.22954  3.79381     25.516  0.100 +-  0.000  0.000      6.56     20.10
   20   2.49574  4.52945     55.388  0.249 +-  0.000  0.000      7.99      2.75
   21   5.01251  0.70716     60.212  0.459 +-  0.000  0.000    -27.00      5.08
   22   0.63671  5.87523    100.244  0.399 +-  0.000  0.000     24.41      4.84
   23 -12.70203  0.79172      1.495  0.000 +-  0.000  0.000      1.49      1.49
   24 -10.19119  5.34591      3.808  0.000 +-  0.000  0.000      3.81      3.81
   25  -5.26840  1.07513     29.735  0.249 +-  0.000  0.000    -17.66      2.93
   26  13.18874  1.39048      1.871  0.000 +-  0.000  0.000      1.87      1.87
   27  13.76643  0.54733      1.246  0.000 +-  0.000  0.000      1.25      1.25
   28  -3.74393  4.04692     60.166  0.379 +-  0.000  0.000    -11.88     -5.64
   29   4.27651  2.35806     32.727  0.219 +-  0.000  0.000     -8.98     -0.86
   30   6.03954  4.84574     25.949  0.170 +-  0.000  0.000     -6.28     14.84
   31   4.64139  4.69681     35.257  0.249 +-  0.000  0.000    -12.14      1.00
   32   6.78529  3.43413     23.341  0.000 +-  0.000  0.000     23.34     23.34
   33   2.91382  2.58566     74.996  0.399 +-  0.000  0.000     -0.84     -4.88
   34 -11.18582  3.47611      2.905  0.000 +-  0.000  0.000      2.91      2.91
   35   8.80700  5.56043      8.781  0.000 +-  0.000  0.000      8.78      8.78
   36   8.23620  1.00577     13.343  0.000 +-  0.000  0.000     13.34     13.34
   37 -15.77510  4.62698      1.443  0.000 +-  0.000  0.000      1.44      1.44
   38  -5.22758  3.25456     25.753  0.229 +-  0.000  0.000    -17.85      0.62
   39   0.81082  5.21082     79.445  0.329 +-  0.000  0.000     16.88      1.14
   40   3.28285  4.98297     76.251  0.459 +-  0.000  0.000    -10.96    -10.56
