# ../areas-test-mean-class -incl 1.0 -r 0.4 -in HIevent-LHC-Nch1600.dat -cam -discard 0.0 
#---------------------------------------------------------------------
#                     FastJet release 2.1 beta    			 
#            Written by Matteo Cacciari and Gavin Salam		 
#            http://www.lpthe.jussieu.fr/~salam/fastjet		 
#								      	 
# Longitudinally invariant Kt Jet clustering, using the fast geometric
# algorithms of hep-ph/0512210 (please cite this if you use FastJet)  
# This package makes use of the CGAL library: http://www.cgal.org/    
# This package incorporates T.Chan's closest-pair algorithm, Proc. 13th     
# ACM-SIAM Symposium on Discrete Algorithms, pp.472-473, 2002
#---------------------------------------------------------------------
# median_pt_per_area = 190.097
# sub_a, sub_b = 241.089 -4.81273
 ijet   rap      phi        Pt       area  +-   err   stddev  pt_corr  ptcr(a,b)
   41  -2.54588  2.57620     50.809  0.219 +-  0.000  0.000      9.10      4.75
   42  10.79954  4.86463      1.732  0.000 +-  0.000  0.000      1.73      1.73
   43  -5.62618  0.80718     39.940  0.339 +-  0.000  0.000    -24.52      9.85
   44   2.82380  3.18820     60.932  0.309 +-  0.000  0.000      2.16     -1.74
   45  -9.96040  1.90029      5.225  0.000 +-  0.000  0.000      5.23      5.23
   46  -1.21030  2.30983     52.675  0.180 +-  0.000  0.000     18.55     10.66
   47 -11.58005  5.42160      1.313  0.000 +-  0.000  0.000      1.31      1.31
   48 -13.27919  0.38388      3.614  0.000 +-  0.000  0.000      3.61      3.61
   49  -8.48280  3.18950      5.577  0.000 +-  0.000  0.000      5.58      5.58
   50   1.36947  1.91756     55.864  0.199 +-  0.000  0.000     17.95      9.58
   51   6.14915  3.18729     17.996  0.050 +-  0.000  0.000      8.52     15.05
   52   8.32248  4.24957     15.553  0.000 +-  0.000  0.000     15.55     15.55
   53  10.39515  3.88644      2.668  0.000 +-  0.000  0.000      2.67      2.67
   54  13.77140  3.96691      3.093  0.000 +-  0.000  0.000      3.09      3.09
   55  12.76688  2.20814      2.300  0.000 +-  0.000  0.000      2.30      2.30
   56   0.77291  2.80165     46.827  0.199 +-  0.000  0.000      8.91     -0.69
   57 -10.55728  0.37495      2.269  0.000 +-  0.000  0.000      2.27      2.27
   58 -10.22735  3.32373      8.772  0.000 +-  0.000  0.000      8.77      8.77
   59  15.63915  5.92301      1.526  0.000 +-  0.000  0.000      1.53      1.53
   60  -9.84894  0.74479      5.892  0.000 +-  0.000  0.000      5.89      5.89
   61  -8.54902  2.29356     11.007  0.000 +-  0.000  0.000     11.01     11.01
   62  -1.11004  1.81763     68.438  0.249 +-  0.000  0.000     21.04      9.81
   63   0.37695  3.32354     28.989  0.150 +-  0.000  0.000      0.55     -6.98
   64   7.48127  5.91287     25.324  0.000 +-  0.000  0.000     25.32     25.32
   65  12.89403  2.62359      1.301  0.000 +-  0.000  0.000      1.30      1.30
   66  11.60794  6.08985      4.166  0.000 +-  0.000  0.000      4.17      4.17
   67   2.26358  1.93454     32.182  0.170 +-  0.000  0.000     -0.05     -4.51
   68   4.84848  1.39561     49.721  0.359 +-  0.000  0.000    -18.53      3.78
   69  -6.51242  4.33985     13.828  0.000 +-  0.000  0.000     13.83     13.83
   70  -6.00758  1.21588     28.309  0.170 +-  0.000  0.000     -3.92     16.88
   71 -14.45670  5.82811      1.953  0.000 +-  0.000  0.000      1.95      1.95
   72 -12.74023  6.21151      4.925  0.000 +-  0.000  0.000      4.93      4.93
   73 -12.89441  2.55923      4.518  0.000 +-  0.000  0.000      4.52      4.52
   74  -4.76075  4.18219     30.200  0.279 +-  0.000  0.000    -22.89     -6.66
   75 -11.74098  5.02944      2.697  0.000 +-  0.000  0.000      2.70      2.70
   76   5.56112  3.17201     31.917  0.269 +-  0.000  0.000    -19.27      7.08
   77  -3.47583  4.44421     69.326  0.379 +-  0.000  0.000     -2.72     -0.01
   78   7.57410  5.40670     31.249  0.000 +-  0.000  0.000     31.25     31.25
   79 -14.29136  3.31093      1.730  0.000 +-  0.000  0.000      1.73      1.73
   80  -4.83857  0.03387     53.263  0.319 +-  0.000  0.000     -7.41     12.28
   81   7.49456  3.70265     40.882  0.000 +-  0.000  0.000     40.88     40.88
   82  -5.06104  1.94509     25.060  0.170 +-  0.000  0.000     -7.17      5.08
   83   4.93223  2.92084     19.462  0.209 +-  0.000  0.000    -20.35     -6.51
   84  10.95326  0.40696      3.779  0.000 +-  0.000  0.000      3.78      3.78
   85  -2.33970  6.08361     34.399  0.180 +-  0.000  0.000      0.27     -4.15
   86   4.34792  6.16446     30.562  0.299 +-  0.000  0.000    -26.31    -14.35
   87  -3.39173  2.59696     42.928  0.249 +-  0.000  0.000     -4.47     -3.38
   88   5.37180  1.30883     28.374  0.349 +-  0.000  0.000    -37.98     -7.30
   89  -2.58516  2.98611     23.009  0.130 +-  0.000  0.000     -1.64     -4.08
   90 -11.70733  1.57117      2.641  0.000 +-  0.000  0.000      2.64      2.64
   91   5.85321  2.84861     13.993  0.120 +-  0.000  0.000     -8.76      4.87
   92   4.17098  4.84234     24.780  0.180 +-  0.000  0.000     -9.35     -3.47
   93  -0.42546  5.42370     80.634  0.359 +-  0.000  0.000     12.38     -5.61
   94  11.46538  3.88237      5.659  0.000 +-  0.000  0.000      5.66      5.66
   95  11.44104  1.10156     10.387  0.000 +-  0.000  0.000     10.39     10.39
   96   9.51775  2.46885      6.995  0.000 +-  0.000  0.000      6.99      6.99
   97  -3.74652  2.34097     53.474  0.259 +-  0.000  0.000      4.18      8.48
   98  11.45174  4.97588      3.071  0.000 +-  0.000  0.000      3.07      3.07
   99   3.42464  4.23088     79.253  0.459 +-  0.000  0.000     -7.96     -5.46
  100 -14.17989  1.13680      2.025  0.000 +-  0.000  0.000      2.02      2.02
  101  -3.61534  3.48749     39.717  0.219 +-  0.000  0.000     -1.99      0.62
  102 -10.15247  4.68670      3.547  0.000 +-  0.000  0.000      3.55      3.55
  103  -5.89070  3.02945     42.890  0.259 +-  0.000  0.000     -6.40     23.68
  104   8.72048  0.16196     12.461  0.000 +-  0.000  0.000     12.46     12.46
  105  -4.60233  2.17076     33.102  0.249 +-  0.000  0.000    -14.30     -1.59
  106  -5.75373  5.41669     35.144  0.259 +-  0.000  0.000    -14.15     13.94
  107  -2.18534  2.27557     52.624  0.209 +-  0.000  0.000     12.81      6.94
  108  -5.27941  2.74320     50.562  0.369 +-  0.000  0.000    -19.59     11.10
  109  -3.17965  3.64952     25.911  0.170 +-  0.000  0.000     -6.32     -6.72
  110  -8.48120  1.37878     16.565  0.000 +-  0.000  0.000     16.57     16.57
  111  -8.33813  4.06673     16.021  0.000 +-  0.000  0.000     16.02     16.02
  112  -6.31574  5.89450     31.312  0.030 +-  0.000  0.000     25.62     29.84
  113   9.55887  1.99008      3.220  0.000 +-  0.000  0.000      3.22      3.22
  114  -9.44210  0.17724      2.435  0.000 +-  0.000  0.000      2.43      2.43
  115  -4.27511  3.11496     27.604  0.249 +-  0.000  0.000    -19.79    -10.58
  116   0.23070  5.45331     80.945  0.339 +-  0.000  0.000     16.49     -0.72
  117  12.68566  1.58549      6.480  0.000 +-  0.000  0.000      6.48      6.48
  118  -8.23970  5.64000      8.678  0.000 +-  0.000  0.000      8.68      8.68
  119   6.64526  4.85601     12.254  0.000 +-  0.000  0.000     12.25     12.25
  120  -4.32233  1.19872     61.484  0.409 +-  0.000  0.000    -16.25     -0.33
  121  10.59525  5.80011      3.555  0.000 +-  0.000  0.000      3.56      3.56
  122 -13.17825  1.57038      1.496  0.000 +-  0.000  0.000      1.50      1.50
  123   6.34804  1.80949     31.841  0.000 +-  0.000  0.000     31.84     31.84
  124  -2.67972  3.68045     25.624  0.150 +-  0.000  0.000     -2.81     -5.27
  125   6.00563  4.17659     22.690  0.150 +-  0.000  0.000     -5.75     12.59
  126   2.03411  0.28190     31.177  0.160 +-  0.000  0.000      0.84     -4.12
  127 -10.63489  2.06460      3.581  0.000 +-  0.000  0.000      3.58      3.58
  128  -1.29587  3.43661     64.523  0.299 +-  0.000  0.000      7.65     -5.19
  129  -2.10978  0.14405     64.554  0.209 +-  0.000  0.000     24.74     18.55
  130  -9.27759  0.89778     19.762  0.000 +-  0.000  0.000     19.76     19.76
  131 -13.30233  3.26359      1.470  0.000 +-  0.000  0.000      1.47      1.47
  132  -1.98068  1.34989     73.202  0.349 +-  0.000  0.000      6.85     -4.36
  133  -1.51431  0.97470     66.203  0.289 +-  0.000  0.000     11.22     -0.33
  134   3.84400  1.52951     41.946  0.239 +-  0.000  0.000     -3.56      1.26
  135  -7.52280  2.63900     13.513  0.000 +-  0.000  0.000     13.51     13.51
  136   7.71894  4.76530     22.314  0.000 +-  0.000  0.000     22.31     22.31
  137  10.02887  4.77044      9.744  0.000 +-  0.000  0.000      9.74      9.74
  138 -10.67232  1.18717      8.604  0.000 +-  0.000  0.000      8.60      8.60
  139   4.56907  4.04925     37.586  0.269 +-  0.000  0.000    -13.60     -0.28
  140  -9.18745  5.14307     10.716  0.000 +-  0.000  0.000     10.72     10.72
  141  -6.99161  4.43019     18.702  0.000 +-  0.000  0.000     18.70     18.70
  142  -6.52430  3.24155     29.639  0.000 +-  0.000  0.000     29.64     29.64
  143   1.73392  1.25151     47.879  0.160 +-  0.000  0.000     17.54     11.72
  144  -0.50159  0.13837     55.515  0.289 +-  0.000  0.000      0.53    -13.86
  145   9.75510  0.61483      2.072  0.000 +-  0.000  0.000      2.07      2.07
  146 -12.80244  3.08317      1.318  0.000 +-  0.000  0.000      1.32      1.32
  147   7.84224  0.47809      2.868  0.000 +-  0.000  0.000      2.87      2.87
  148   1.44257  5.07021    109.020  0.419 +-  0.000  0.000     29.39     12.23
  149  -0.98952  0.04404     64.616  0.279 +-  0.000  0.000     11.53     -1.39
  150  -3.64711  5.75299     59.180  0.399 +-  0.000  0.000    -16.66    -11.46
  151  -6.12127  2.60007     47.945  0.150 +-  0.000  0.000     19.51     38.86
  152 -11.21939  4.86420      3.387  0.000 +-  0.000  0.000      3.39      3.39
  153  -1.18789  5.82867     56.706  0.279 +-  0.000  0.000      3.62     -8.72
  154   0.81838  0.29075     49.293  0.259 +-  0.000  0.000      0.00    -12.39
  155  -1.72366  3.43434     34.323  0.180 +-  0.000  0.000      0.20     -6.39
  156   6.53083  6.02246     10.722  0.000 +-  0.000  0.000     10.72     10.72
  157  -1.56653  5.02252     51.662  0.209 +-  0.000  0.000     11.85      3.64
  158 -14.73970  1.76920      1.385  0.000 +-  0.000  0.000      1.39      1.39
  159  10.65146  0.89462      4.389  0.000 +-  0.000  0.000      4.39      4.39
  160  12.24569  2.55127      5.015  0.000 +-  0.000  0.000      5.02      5.02
  161  10.90456  3.69782      3.677  0.000 +-  0.000  0.000      3.68      3.68
  162  13.95246  1.08125      2.442  0.000 +-  0.000  0.000      2.44      2.44
  163   5.45313  0.07832     31.720  0.269 +-  0.000  0.000    -19.47      5.34
  164   2.43557  1.46688     44.877  0.209 +-  0.000  0.000      5.06      0.36
  165   2.51458  0.36525     47.067  0.259 +-  0.000  0.000     -2.23     -7.56
  166  -0.70785  3.35559    125.242  0.489 +-  0.000  0.000     32.34      8.60
  167   1.99876  3.77696     88.543  0.369 +-  0.000  0.000     18.40      6.67
  168  -9.39224  3.68496      2.253  0.000 +-  0.000  0.000      2.25      2.25
  169  -9.60592  2.18902     13.404  0.000 +-  0.000  0.000     13.40     13.40
  170 -11.68164  2.92233      2.904  0.000 +-  0.000  0.000      2.90      2.90
  171   1.85074  3.32543     51.501  0.239 +-  0.000  0.000      6.00     -2.26
  172  14.36773  0.39343      1.689  0.000 +-  0.000  0.000      1.69      1.69
  173   7.08541  5.02205     18.154  0.000 +-  0.000  0.000     18.15     18.15
  174   6.23569  2.66854     18.543  0.010 +-  0.000  0.000     16.65     18.00
  175  10.60779  4.35042      4.586  0.000 +-  0.000  0.000      4.59      4.59
  176  13.37759  4.85293      3.196  0.000 +-  0.000  0.000      3.20      3.20
  177  -7.47614  3.26663     27.604  0.000 +-  0.000  0.000     27.60     27.60
  178  -8.44006  6.07275     19.022  0.000 +-  0.000  0.000     19.02     19.02
  179  -1.60892  5.52511     44.492  0.199 +-  0.000  0.000      6.57     -1.11
  180  -7.48384  5.87875     37.248  0.000 +-  0.000  0.000     37.25     37.25
  181 -11.42340  6.07326      3.888  0.000 +-  0.000  0.000      3.89      3.89
  182 -13.22068  5.78714      2.477  0.000 +-  0.000  0.000      2.48      2.48
  183  -7.79217  0.13326     13.548  0.000 +-  0.000  0.000     13.55     13.55
  184 -13.72159  2.69204      1.069  0.000 +-  0.000  0.000      1.07      1.07
  185  -5.86464  0.38992     22.733  0.199 +-  0.000  0.000    -15.18      7.66
  186  -5.77093  4.17640     48.663  0.369 +-  0.000  0.000    -21.49     18.84
  187  -2.95002  2.66621     38.608  0.170 +-  0.000  0.000      6.38      4.83
  188  11.62032  1.71440      4.227  0.000 +-  0.000  0.000      4.23      4.23
  189   0.58754  2.36944     65.446  0.309 +-  0.000  0.000      6.67     -8.58
  190   4.34180  0.53023     48.134  0.289 +-  0.000  0.000     -6.85      4.64
  191   7.46723  4.40537     27.491  0.000 +-  0.000  0.000     27.49     27.49
  192  -7.82744  5.17798     10.029  0.000 +-  0.000  0.000     10.03     10.03
  193   0.69329  1.16991     85.891  0.339 +-  0.000  0.000     21.43      4.92
  194  -0.64945  2.14398     78.543  0.379 +-  0.000  0.000      6.50    -12.06
  195  -7.01563  3.45410     23.782  0.000 +-  0.000  0.000     23.78     23.78
  196  -6.84673  3.83102     15.743  0.000 +-  0.000  0.000     15.74     15.74
  197  -7.94652  3.68661     16.982  0.000 +-  0.000  0.000     16.98     16.98
  198 -10.77766  5.51254      2.175  0.000 +-  0.000  0.000      2.18      2.18
  199  -5.67750  2.18034     29.032  0.349 +-  0.000  0.000    -37.32     -0.97
  200  -7.03257  6.14272     14.442  0.000 +-  0.000  0.000     14.44     14.44
  201  -5.64631  3.60126     22.122  0.249 +-  0.000  0.000    -25.28      0.27
  202  -6.70773  2.23981     16.235  0.000 +-  0.000  0.000     16.23     16.23
  203  -9.01375  2.48535      8.019  0.000 +-  0.000  0.000      8.02      8.02
  204  -4.09852  2.00302     41.309  0.299 +-  0.000  0.000    -15.57     -6.64
  205  10.26743  2.75540      7.068  0.000 +-  0.000  0.000      7.07      7.07
  206  -8.34111  5.00947      2.108  0.000 +-  0.000  0.000      2.11      2.11
  207   8.24569  3.40573     11.613  0.000 +-  0.000  0.000     11.61     11.61
  208 -11.17771  0.47142      3.214  0.000 +-  0.000  0.000      3.21      3.21
  209 -12.00369  0.60586      1.303  0.000 +-  0.000  0.000      1.30      1.30
  210  10.37236  6.26298      7.000  0.000 +-  0.000  0.000      7.00      7.00
  211  -2.89821  2.12233     66.198  0.339 +-  0.000  0.000      1.74     -1.85
  212  -0.57014  5.90764     79.011  0.329 +-  0.000  0.000     16.45      0.18
  213  -0.09192  1.84518     93.311  0.339 +-  0.000  0.000     28.85     11.57
  214   9.37678  1.52457      6.655  0.000 +-  0.000  0.000      6.66      6.66
  215  10.81776  0.00874      7.526  0.000 +-  0.000  0.000      7.53      7.53
  216  -4.79925  1.60209     52.536  0.429 +-  0.000  0.000    -28.99     -3.32
  217  -1.49550  0.48207     64.258  0.269 +-  0.000  0.000     13.07      2.24
  218   1.08561  2.29922     75.612  0.339 +-  0.000  0.000     11.15     -4.22
  219  -2.98335  5.40820     75.500  0.379 +-  0.000  0.000      3.46      0.36
  220  13.81605  3.43953      5.007  0.000 +-  0.000  0.000      5.01      5.01
  221  -2.18703  1.82830     54.856  0.299 +-  0.000  0.000     -2.02    -10.39
  222  11.69725  2.73762      2.516  0.000 +-  0.000  0.000      2.52      2.52
  223 -10.07948  5.92194      1.657  0.000 +-  0.000  0.000      1.66      1.66
  224  -0.09128  2.44669     62.543  0.319 +-  0.000  0.000      1.87    -14.39
  225  -1.39011  1.35972     63.910  0.239 +-  0.000  0.000     18.41      8.43
  226  -2.75427  4.55072     44.686  0.239 +-  0.000  0.000     -0.82     -4.28
  227   6.90643  0.63846     18.851  0.000 +-  0.000  0.000     18.85     18.85
  228   9.87039  5.94276      6.354  0.000 +-  0.000  0.000      6.35      6.35
  229  14.68175  2.48599      1.032  0.000 +-  0.000  0.000      1.03      1.03
  230   4.67391  1.93640     27.766  0.180 +-  0.000  0.000     -6.36      3.36
  231   0.08879  5.97729     53.527  0.229 +-  0.000  0.000      9.92     -1.77
  232  -2.82736  6.12847     53.998  0.269 +-  0.000  0.000      2.81     -0.56
  233 -10.93766  6.13608     13.138  0.000 +-  0.000  0.000     13.14     13.14
  234   4.72853  2.50978     43.237  0.279 +-  0.000  0.000     -9.85      5.96
  235  15.37437  0.88412      1.411  0.000 +-  0.000  0.000      1.41      1.41
  236   1.41919  3.89117     50.721  0.319 +-  0.000  0.000     -9.95    -23.13
  237   0.55293  4.37164     76.894  0.309 +-  0.000  0.000     18.12      2.81
  238  -0.14324  0.92938    208.544  0.479 +-  0.000  0.000    117.54     93.18
  239  -7.23240  0.42410     40.273  0.000 +-  0.000  0.000     40.27     40.27
  240   5.17822  3.49512     32.610  0.289 +-  0.000  0.000    -22.37      0.21
  241   5.49227  0.72873     35.874  0.249 +-  0.000  0.000    -11.52     11.96
  242  11.29217  2.94693      4.487  0.000 +-  0.000  0.000      4.49      4.49
  243  10.30723  0.58716     10.056  0.000 +-  0.000  0.000     10.06     10.06
  244 -12.52188  4.15947      4.669  0.000 +-  0.000  0.000      4.67      4.67
  245 -11.93964  5.78933      3.864  0.000 +-  0.000  0.000      3.86      3.86
  246   1.80587  1.67136     62.232  0.309 +-  0.000  0.000      3.46     -7.45
  247   9.26641  3.93093     14.142  0.000 +-  0.000  0.000     14.14     14.14
  248  10.00066  4.26452      5.011  0.000 +-  0.000  0.000      5.01      5.01
  249 -11.10610  0.97035      9.832  0.000 +-  0.000  0.000      9.83      9.83
  250 -10.67407  4.86015      8.704  0.000 +-  0.000  0.000      8.70      8.70
  251 -12.14367  0.99120      1.221  0.000 +-  0.000  0.000      1.22      1.22
  252 -10.37637  3.91580      2.642  0.000 +-  0.000  0.000      2.64      2.64
  253  -9.89336  3.95013      8.100  0.000 +-  0.000  0.000      8.10      8.10
  254   9.37654  0.36814     17.730  0.000 +-  0.000  0.000     17.73     17.73
  255 -10.49531  5.83212      3.189  0.000 +-  0.000  0.000      3.19      3.19
  256  -6.66118  0.15469      5.022  0.000 +-  0.000  0.000      5.02      5.02
  257   2.37235  3.36797     32.263  0.160 +-  0.000  0.000      1.93     -1.89
  258   1.35619  0.17536     62.265  0.309 +-  0.000  0.000      3.49     -9.54
  259 -12.26864  2.59769      5.853  0.000 +-  0.000  0.000      5.85      5.85
  260 -10.25299  1.50745      7.722  0.000 +-  0.000  0.000      7.72      7.72
  261 -12.38878  5.80178      2.059  0.000 +-  0.000  0.000      2.06      2.06
  262   5.54358  2.01143     13.369  0.120 +-  0.000  0.000     -9.38      2.22
  263 -13.46198  2.22008      2.533  0.000 +-  0.000  0.000      2.53      2.53
  264   8.78370  2.82085     13.289  0.000 +-  0.000  0.000     13.29     13.29
  265  13.02012  0.88259      2.703  0.000 +-  0.000  0.000      2.70      2.70
  266  -4.51069  2.64388     45.321  0.439 +-  0.000  0.000    -38.10    -17.51
  267  -0.94783  4.09439     69.759  0.319 +-  0.000  0.000      9.09     -5.80
  268  -9.49745  2.69752      5.581  0.000 +-  0.000  0.000      5.58      5.58
  269  11.76670  4.68965      1.149  0.000 +-  0.000  0.000      1.15      1.15
  270  -9.25440  4.37160     13.403  0.000 +-  0.000  0.000     13.40     13.40
  271  -2.01598  5.20424     28.953  0.180 +-  0.000  0.000     -5.17    -10.82
  272  -3.68125  1.67476     94.586  0.509 +-  0.000  0.000     -2.10      5.13
  273  11.97844  5.11286      1.532  0.000 +-  0.000  0.000      1.53      1.53
  274  15.84590  4.11151      2.778  0.000 +-  0.000  0.000      2.78      2.78
  275  11.16893  5.57819      5.873  0.000 +-  0.000  0.000      5.87      5.87
  276  -0.65398  4.98442     38.226  0.150 +-  0.000  0.000      9.79      2.47
  277 -11.68830  0.12220      3.261  0.000 +-  0.000  0.000      3.26      3.26
  278 -13.04188  5.20274      4.521  0.000 +-  0.000  0.000      4.52      4.52
  279   8.72741  1.87730      4.125  0.000 +-  0.000  0.000      4.12      4.12
  280 -11.15302  1.97232      2.630  0.000 +-  0.000  0.000      2.63      2.63
  281  -3.83149  5.04689     41.987  0.239 +-  0.000  0.000     -3.51      1.19
  282   3.15978  5.60548     72.675  0.349 +-  0.000  0.000      6.32      5.29
  283   1.18253  0.65468     78.076  0.329 +-  0.000  0.000     15.51      0.94
  284  -0.11292  3.15016     66.621  0.369 +-  0.000  0.000     -3.53    -22.32
  285  -0.64823  4.43940     66.712  0.259 +-  0.000  0.000     17.42      4.72
  286  13.40360  2.72463      1.622  0.000 +-  0.000  0.000      1.62      1.62
  287   8.96720  4.27221     10.372  0.000 +-  0.000  0.000     10.37     10.37
  288   5.78519  5.24316      9.552  0.100 +-  0.000  0.000     -9.41      1.57
  289   6.80941  0.24268     17.648  0.000 +-  0.000  0.000     17.65     17.65
  290  10.74888  2.32532      5.384  0.000 +-  0.000  0.000      5.38      5.38
  291  -9.53870  6.04313      8.767  0.000 +-  0.000  0.000      8.77      8.77
  292  -1.64640  1.92356     65.916  0.329 +-  0.000  0.000      3.35     -9.14
  293   2.07632  4.35571     51.505  0.209 +-  0.000  0.000     11.69      5.36
  294   6.98858  6.13709     25.300  0.000 +-  0.000  0.000     25.30     25.30
  295 -12.18559  4.73270      3.873  0.000 +-  0.000  0.000      3.87      3.87
  296   5.24166  4.98900     40.920  0.229 +-  0.000  0.000     -2.69     15.95
  297  -3.16256  4.80881     34.833  0.199 +-  0.000  0.000     -3.08     -3.65
  298   1.24513  5.60415     51.397  0.209 +-  0.000  0.000     11.58      2.47
  299  10.67503  3.13512     11.363  0.000 +-  0.000  0.000     11.36     11.36
  300 -13.88348  0.76304      4.513  0.000 +-  0.000  0.000      4.51      4.51
  301  -8.84178  5.84540      2.960  0.000 +-  0.000  0.000      2.96      2.96
  302   0.33956  2.78060     48.200  0.239 +-  0.000  0.000      2.70     -9.37
  303  -5.00505  5.00266     61.056  0.529 +-  0.000  0.000    -39.43     -2.65
  304  -4.47789  0.44534     34.635  0.249 +-  0.000  0.000    -12.76     -1.42
  305   2.74580  6.26097     37.078  0.180 +-  0.000  0.000      2.95      0.31
  306  -9.69180  4.67688      7.259  0.000 +-  0.000  0.000      7.26      7.26
  307  13.46543  5.56635      1.836  0.000 +-  0.000  0.000      1.84      1.84
  308  14.12932  2.28970      5.116  0.000 +-  0.000  0.000      5.12      5.12
  309  12.74320  3.24125      2.739  0.000 +-  0.000  0.000      2.74      2.74
  310  12.91420  5.04234      1.798  0.000 +-  0.000  0.000      1.80      1.80
  311  11.79920  2.24313      4.406  0.000 +-  0.000  0.000      4.41      4.41
  312   3.09041  6.01571     48.514  0.239 +-  0.000  0.000      3.01      1.81
  313 -11.60558  0.80165      1.566  0.000 +-  0.000  0.000      1.57      1.57
  314 -10.11979  0.26981      8.823  0.000 +-  0.000  0.000      8.82      8.82
  315   4.41732  1.13933     47.380  0.309 +-  0.000  0.000    -11.39      1.88
  316  14.56480  4.09199      1.767  0.000 +-  0.000  0.000      1.77      1.77
  317  -9.03336  3.05303      7.518  0.000 +-  0.000  0.000      7.52      7.52
  318   1.79256  6.07707     66.360  0.279 +-  0.000  0.000     13.27      3.35
  319   4.70947  5.15388     39.050  0.189 +-  0.000  0.000      3.03     13.59
  320   7.51147  1.00416     32.630  0.000 +-  0.000  0.000     32.63     32.63
  321   9.25359  1.07554      3.469  0.000 +-  0.000  0.000      3.47      3.47
