# ../areas-test-mean-class -incl 1.0 -r 0.4 -in HIevent-LHC-Nch3600.dat -cam -discard 1.0 
#---------------------------------------------------------------------
#                     FastJet release 2.1 beta    			 
#            Written by Matteo Cacciari and Gavin Salam		 
#            http://www.lpthe.jussieu.fr/~salam/fastjet		 
#								      	 
# Longitudinally invariant Kt Jet clustering, using the fast geometric
# algorithms of hep-ph/0512210 (please cite this if you use FastJet)  
# This package makes use of the CGAL library: http://www.cgal.org/    
# This package incorporates T.Chan's closest-pair algorithm, Proc. 13th     
# ACM-SIAM Symposium on Discrete Algorithms, pp.472-473, 2002
#---------------------------------------------------------------------
# median_pt_per_area = 122.912
# sub_a, sub_b = 164.797 -3.78748
 ijet   rap      phi        Pt       area  +-   err   stddev  pt_corr  ptcr(a,b)
    0   7.36666  3.10949     24.422  0.000 +-  0.000  0.000     24.42     24.42
    1  -0.67697  0.21987     55.673  0.259 +-  0.000  0.000     23.80     13.39
    2  -8.34740  5.58180      3.550  0.000 +-  0.000  0.000      3.55      3.55
    3   1.38248  6.03155     16.002  0.120 +-  0.000  0.000      1.29     -2.85
    4  -6.43372  1.31157      6.781  0.000 +-  0.000  0.000      6.78      6.78
    5   2.00064  4.64002     57.478  0.399 +-  0.000  0.000      8.44     -2.22
    6   4.23399  2.07480     22.901  0.239 +-  0.000  0.000     -6.52     -0.29
    7   4.20868  0.06472     38.232  0.279 +-  0.000  0.000      3.91     10.95
    8  -2.52845  5.33081     26.402  0.229 +-  0.000  0.000     -1.79     -5.85
    9  -5.89363  0.38791      4.913  0.080 +-  0.000  0.000     -4.89      2.26
   10  -9.51087  6.26368      1.122  0.000 +-  0.000  0.000      1.12      1.12
   11   1.15640  4.45864     20.553  0.189 +-  0.000  0.000     -2.74     -9.72
   12   1.51208  3.56934     25.915  0.209 +-  0.000  0.000      0.17     -6.79
   13  -8.66550  5.98936      3.131  0.000 +-  0.000  0.000      3.13      3.13
   14  -5.99470  3.67215     12.594  0.110 +-  0.000  0.000     -0.89      9.45
   15   5.74431  2.97732      9.997  0.489 +-  0.000  0.000    -50.07     -9.46
   16 -14.08385  3.52909      1.196  0.000 +-  0.000  0.000      1.20      1.20
   17  -6.51310  5.59127     11.057  0.000 +-  0.000  0.000     11.06     11.06
   18   5.75610  6.07243      8.667  0.130 +-  0.000  0.000     -7.27      3.57
   19  -6.65622  2.37066     11.065  0.000 +-  0.000  0.000     11.07     11.07
