# ../areas-test-mean-class -incl 1.0 -r 0.4 -in HIevent-LHC-Nch1600.dat -cam -discard 1.0 
#---------------------------------------------------------------------
#                     FastJet release 2.1 beta    			 
#            Written by Matteo Cacciari and Gavin Salam		 
#            http://www.lpthe.jussieu.fr/~salam/fastjet		 
#								      	 
# Longitudinally invariant Kt Jet clustering, using the fast geometric
# algorithms of hep-ph/0512210 (please cite this if you use FastJet)  
# This package makes use of the CGAL library: http://www.cgal.org/    
# This package incorporates T.Chan's closest-pair algorithm, Proc. 13th     
# ACM-SIAM Symposium on Discrete Algorithms, pp.472-473, 2002
#---------------------------------------------------------------------
# median_pt_per_area = 68.7289
# sub_a, sub_b = 90.1125 -1.94343
 ijet   rap      phi        Pt       area  +-   err   stddev  pt_corr  ptcr(a,b)
    0 -13.37489  0.45865      1.522  0.000 +-  0.000  0.000      1.52      1.52
    1   8.23750  4.28080      3.200  0.000 +-  0.000  0.000      3.20      3.20
    2   7.70692  5.26870     17.034  0.000 +-  0.000  0.000     17.03     17.03
    3   4.38226  3.16734     40.431  0.608 +-  0.000  0.000     -1.38      8.31
    4  -4.41943  0.43843      5.321  0.110 +-  0.000  0.000     -2.22     -0.40
    5  -3.15159  4.81995      7.911  0.239 +-  0.000  0.000     -8.54     -9.04
    6  11.62328  2.34932      1.269  0.000 +-  0.000  0.000      1.27      1.27
    7  -8.65137  6.15024      3.483  0.000 +-  0.000  0.000      3.48      3.48
    8   9.87567  0.08238      4.886  0.000 +-  0.000  0.000      4.89      4.89
    9   7.51916  1.00622     16.998  0.000 +-  0.000  0.000     17.00     17.00
   10  -3.46804  3.98590      8.066  0.110 +-  0.000  0.000      0.53      0.74
   11   9.58950  5.22140      4.944  0.000 +-  0.000  0.000      4.94      4.94
   12  -7.38768  0.19452      4.922  0.000 +-  0.000  0.000      4.92      4.92
   13  -5.68195  4.06487     19.731  0.469 +-  0.000  0.000    -12.49      6.90
   14  -1.21413  2.05336     23.235  0.379 +-  0.000  0.000     -2.81     -9.83
   15  -2.71636  2.72556     17.303  0.229 +-  0.000  0.000      1.54     -0.08
   16  -0.82706  4.17025     27.469  0.339 +-  0.000  0.000      4.16     -2.64
   17  -3.37116  2.59230     10.624  0.289 +-  0.000  0.000     -9.25     -9.05
   18   8.03560  2.31083      3.166  0.000 +-  0.000  0.000      3.17      3.17
   19  -8.40503  3.61127      1.009  0.000 +-  0.000  0.000      1.01      1.01
   20  -5.17652  4.92661      6.099  0.249 +-  0.000  0.000    -11.04     -3.38
   21  -2.15951  3.06727     29.018  0.299 +-  0.000  0.000      8.45      4.77
   22   2.96014  5.54085     12.996  0.180 +-  0.000  0.000      0.66     -0.12
   23   0.77547  5.12437     26.116  0.299 +-  0.000  0.000      5.55     -0.50
   24  -4.99987  2.07757     25.976  0.638 +-  0.000  0.000    -17.89     -0.53
   25  -7.80507  2.10926      6.596  0.000 +-  0.000  0.000      6.60      6.60
   26  -8.29478  4.06482      4.638  0.000 +-  0.000  0.000      4.64      4.64
   27   3.90929  4.43252     12.899  0.379 +-  0.000  0.000    -13.15    -10.00
   28  -5.90197  4.88728     27.131  0.339 +-  0.000  0.000      3.83     19.53
   29  -5.78596  6.03831      5.767  0.259 +-  0.000  0.000    -12.05     -0.73
   30  -3.09759  3.15007      8.303  0.120 +-  0.000  0.000      0.08     -0.25
   31  -7.22295  1.65314     19.257  0.000 +-  0.000  0.000     19.26     19.26
   32   1.11598  5.65620     41.808  0.539 +-  0.000  0.000      4.79     -5.42
   33 -13.27231  5.85065      1.139  0.000 +-  0.000  0.000      1.14      1.14
   34   0.60300  0.16161      9.677  0.229 +-  0.000  0.000     -6.09    -10.83
   35  -1.58756  0.16111     20.508  0.369 +-  0.000  0.000     -4.85    -10.94
   36  -5.97027  0.38096      7.411  0.130 +-  0.000  0.000     -1.50      4.71
   37  -2.90756  3.78751     24.998  0.529 +-  0.000  0.000    -11.33    -13.95
   38   9.33987  1.39182      3.822  0.000 +-  0.000  0.000      3.82      3.82
   39   7.67386  3.95441      4.048  0.000 +-  0.000  0.000      4.05      4.05
   40  10.22119  6.13866      2.258  0.000 +-  0.000  0.000      2.26      2.26
   41  -5.87265  2.15098      7.819  0.359 +-  0.000  0.000    -16.86     -0.47
   42 -11.96873  3.60562      1.187  0.000 +-  0.000  0.000      1.19      1.19
   43   3.20602  0.13135     15.193  0.199 +-  0.000  0.000      1.48      1.20
   44   5.53281  6.17337      8.070  0.140 +-  0.000  0.000     -1.53      3.79
   45   5.10839  1.62038      6.237  0.219 +-  0.000  0.000     -8.84     -2.41
   46  -5.24990  4.29640      1.179  0.110 +-  0.000  0.000     -6.36     -2.83
   47  13.66551  4.45191      1.070  0.000 +-  0.000  0.000      1.07      1.07
   48  -2.30484  2.37087     26.291  0.229 +-  0.000  0.000     10.53      7.99
   49   6.77954  1.19781      9.800  0.000 +-  0.000  0.000      9.80      9.80
   50   5.54455  5.17369     11.731  0.429 +-  0.000  0.000    -17.74     -1.29
   51   9.83169  0.91408      1.382  0.000 +-  0.000  0.000      1.38      1.38
   52  -5.50021  4.66739      2.479  0.180 +-  0.000  0.000     -9.86     -3.14
   53  -2.63396  3.20782     27.861  0.309 +-  0.000  0.000      6.61      4.17
   54  -9.24133  1.46291      1.557  0.000 +-  0.000  0.000      1.56      1.56
   55   2.95150  0.57583     21.033  0.289 +-  0.000  0.000      1.16     -0.13
   56   9.07075  2.96143      1.137  0.000 +-  0.000  0.000      1.14      1.14
   57   1.75513  0.77641     27.507  0.389 +-  0.000  0.000      0.77     -5.21
   58 -11.06120  0.08930      4.201  0.000 +-  0.000  0.000      4.20      4.20
   59   1.33469  3.78869     20.489  0.339 +-  0.000  0.000     -2.82     -8.89
   60   2.22151  0.52785     30.330  0.389 +-  0.000  0.000      3.60     -0.99
   61  14.45930  2.91960      1.009  0.000 +-  0.000  0.000      1.01      1.01
   62   9.32969  4.43431      1.099  0.000 +-  0.000  0.000      1.10      1.10
   63  -7.48876  3.10160      9.719  0.000 +-  0.000  0.000      9.72      9.72
   64   9.07213  4.84666      1.274  0.000 +-  0.000  0.000      1.27      1.27
   65   3.43769  4.09226     13.238  0.229 +-  0.000  0.000     -2.53     -2.16
   66  -1.66477  3.70596     27.777  0.409 +-  0.000  0.000     -0.33     -6.87
   67  10.30166  2.79714      2.747  0.000 +-  0.000  0.000      2.75      2.75
   68  13.78691  0.53763      1.136  0.000 +-  0.000  0.000      1.14      1.14
   69   6.15386  1.26575     14.589  0.219 +-  0.000  0.000     -0.49     10.97
   70  -0.27469  1.71136     37.622  0.319 +-  0.000  0.000     15.69      8.91
   71   2.39452  2.49881     29.410  0.229 +-  0.000  0.000     13.64     11.30
   72   9.92021  4.36898      1.464  0.000 +-  0.000  0.000      1.46      1.46
   73   5.37191  0.88227     28.395  0.588 +-  0.000  0.000    -12.05      8.37
   74   5.29159  4.67141     14.709  0.269 +-  0.000  0.000     -3.80      5.10
   75   3.81810  0.20658     43.766  0.628 +-  0.000  0.000      0.58      4.95
   76 -10.18879  2.49854      4.709  0.000 +-  0.000  0.000      4.71      4.71
   77  -5.67723  2.98742      6.199  0.140 +-  0.000  0.000     -3.40      2.36
