# ./areas-1gluon-for-root -out root-games/ghosted-siscone.dat -ghost_kt 1e-5 -ghost_area 0.04 -ghost_etamax 4.0 -kt_scatter 1 
# jet def: SISCone jet finder with cone_radius = 1, overlap_threshold = 0.5, n_pass_max = 1, caching turned off
0 -8.26642e-09 3.14159 100
 0 0.400003 2.84707 1.96223e-05
 1 0.400019 3.04341 1.73762e-05
 2 0.400011 3.23975 1.4709e-05
 3 0.400018 3.4361 1.07447e-05
 4 0.200013 2.84706 1.05817e-05
 5 0.200006 3.04341 1.47975e-05
 6 0.20001 3.23975 1.7613e-05
 7 0.200012 3.43611 1.58875e-05
 8 9.44809e-06 2.65071 1.78306e-05
 9 7.36212e-06 2.84706 1.30763e-05
 10 4.26185e-06 3.0434 1.37241e-05
 11 1.9424e-05 3.23976 1.34628e-05
 12 2.00687e-07 3.43611 1.42584e-05
 13 1.93562e-06 3.63245 1.49709e-05
 14 -0.199997 2.84706 1.67708e-05
 15 -0.199994 3.0434 1.91979e-05
 16 -0.199999 3.23976 1.62191e-05
 17 -0.199993 3.4361 1.89226e-05
 18 -0.399985 2.84706 1.38873e-05
 19 -0.399989 3.0434 1.39614e-05
 20 -0.399984 3.23976 1.7788e-05
 21 0 3.14159 100
 22 -0.399989 3.4361 1.28407e-05
#END
1 -1.7412 1.01466 0.000884514
 0 -0.599996 0.490865 1.59391e-05
 1 -0.799988 0.490864 1.40217e-05
 2 -0.799997 0.687215 1.52118e-05
 3 -0.99999 0.490861 1.8097e-05
 4 -0.999982 0.687207 1.67231e-05
 5 -0.999994 0.883562 1.89346e-05
 6 -0.999994 1.0799 1.90713e-05
 7 -0.999994 1.27626 1.57368e-05
 8 -0.999985 1.47261 1.6618e-05
 9 -1.19999 0.490873 1.52302e-05
 10 -1.2 0.687209 1.42553e-05
 11 -1.19998 0.883557 1.46166e-05
 12 -1.19998 1.07991 1.50011e-05
 13 -1.19999 1.27626 1.41632e-05
 14 -1.2 1.47262 1.13568e-05
 15 -1.39999 1.66896 1.94875e-05
 16 -1.39999 0.490867 1.91492e-05
 17 -1.4 0.687214 1.39715e-05
 18 -1.39999 0.883571 1.29495e-05
 19 -1.39999 1.0799 1.70661e-05
 20 -1.4 1.27626 1.27682e-05
 21 -1.4 1.47261 1.58931e-05
 22 -1.59999 1.66896 1.42369e-05
 23 -1.59998 0.490859 1.13457e-05
 24 -1.6 0.68721 1.70069e-05
 25 -1.59999 0.883571 1.07633e-05
 26 -1.59999 1.07992 1.7448e-05
 27 -1.59999 1.27626 1.50655e-05
 28 -1.6 1.47262 1.39537e-05
 29 -1.79998 1.66896 1.18858e-05
 30 -1.79998 1.8653 1.12102e-05
